DATE,CPI_Headline,CPI_Core
2012-01-01,227.842,227.877
2012-02-01,228.329,228.034
2012-03-01,228.807,228.478
2012-04-01,229.187,228.905
2012-05-01,228.713,229.224
2012-06-01,228.524,229.623
2012-07-01,228.59,229.97
2012-08-01,229.918,230.233
2012-09-01,231.015,230.659
2012-10-01,231.638,231.024
2012-11-01,231.249,231.33
2012-12-01,231.221,231.725
2013-01-01,231.679,232.229
2013-02-01,232.937,232.569
2013-03-01,232.282,232.794
2013-04-01,231.797,232.832
2013-05-01,231.893,232.996
2013-06-01,232.445,233.35
2013-07-01,232.9,233.88
2013-08-01,233.456,234.336
2013-09-01,233.544,234.7
2013-10-01,233.669,234.921
2013-11-01,234.1,235.359
2013-12-01,234.719,235.759
2014-01-01,235.288,235.961
2014-02-01,235.547,236.185
2014-03-01,236.028,236.625
2014-04-01,236.468,237.072
2014-05-01,236.918,237.529
2014-06-01,237.231,237.837
2014-07-01,237.498,238.195
2014-08-01,237.46,238.405
2014-09-01,237.477,238.786
2014-10-01,237.43,239.191
2014-11-01,236.983,239.458
2014-12-01,236.252,239.584
2015-01-01,234.747,239.811
2015-02-01,235.342,240.172
2015-03-01,235.976,240.755
2015-04-01,236.222,241.346
2015-05-01,237.001,241.688
2015-06-01,237.657,242.064
2015-07-01,238.034,242.565
2015-08-01,238.033,242.817
2015-09-01,237.498,243.316
2015-10-01,237.733,243.768
2015-11-01,238.017,244.241
2015-12-01,237.761,244.547
2016-01-01,237.652,244.955
2016-02-01,237.336,245.51
2016-03-01,238.08,245.913
2016-04-01,238.992,246.551
2016-05-01,239.557,247.137
2016-06-01,240.222,247.54
2016-07-01,240.101,247.829
2016-08-01,240.545,248.423
2016-09-01,241.176,248.842
2016-10-01,241.741,249.142
2016-11-01,242.026,249.481
2016-12-01,242.637,249.92
2017-01-01,243.618,250.467
2017-02-01,244.006,250.998
2017-03-01,243.892,250.944
2017-04-01,244.193,251.227
2017-05-01,244.004,251.43
2017-06-01,244.163,251.746
2017-07-01,244.243,251.985
2017-08-01,245.183,252.535
2017-09-01,246.435,252.812
2017-10-01,246.626,253.526
2017-11-01,247.284,253.816
2017-12-01,247.805,254.344
2018-01-01,248.859,255.204
2018-02-01,249.529,255.711
2018-03-01,249.577,256.271
2018-04-01,250.227,256.63
2018-05-01,250.792,257.145
2018-06-01,251.018,257.399
2018-07-01,251.214,257.699
2018-08-01,251.663,257.891
2018-09-01,252.182,258.368
2018-10-01,252.772,258.917
2018-11-01,252.594,259.439
2018-12-01,252.767,260.063
2019-01-01,252.561,260.766
2019-02-01,253.319,261.186
2019-03-01,254.277,261.567
2019-04-01,255.233,261.997
2019-05-01,255.296,262.217
2019-06-01,255.213,262.739
2019-07-01,255.802,263.28
2019-08-01,256.036,263.877
2019-09-01,256.43,264.388
2019-10-01,257.155,264.97
2019-11-01,257.879,265.548
2019-12-01,258.63,266.02
2020-01-01,259.127,266.716
2020-02-01,259.25,267.37
2020-03-01,258.076,267.054
2020-04-01,256.032,265.746
2020-05-01,255.802,265.412
2020-06-01,257.042,265.849
2020-07-01,258.352,267.389
2020-08-01,259.316,268.422
2020-09-01,259.997,268.933
2020-10-01,260.319,269.306
2020-11-01,260.911,269.981
2020-12-01,262.045,270.341
2021-01-01,262.639,270.416
2021-02-01,263.573,270.776
2021-03-01,264.847,271.453
2021-04-01,266.625,273.626
2021-05-01,268.404,275.457
2021-06-01,270.71,277.608
2021-07-01,271.965,278.639
2021-08-01,272.752,279.021
2021-09-01,273.942,279.727
2021-10-01,276.528,281.649
2021-11-01,278.824,283.411
2021-12-01,280.806,285.221
2022-01-01,282.542,286.799
2022-02-01,284.525,288.256
2022-03-01,287.467,289.044
2022-04-01,288.582,290.474
2022-05-01,291.299,292.039
2022-06-01,295.072,294.009
2022-07-01,294.94,295.08
2022-08-01,295.162,296.582
2022-09-01,296.421,298.281
2022-10-01,297.979,299.381
2022-11-01,298.708,300.316
2022-12-01,298.808,301.433
2023-01-01,300.456,302.685
2023-02-01,301.476,304.097
2023-03-01,301.643,305.123
2023-04-01,302.858,306.49
2023-05-01,303.316,307.623
2023-06-01,304.099,308.291
2023-07-01,304.615,308.959
2023-08-01,306.138,309.646
2023-09-01,307.374,310.616
2023-10-01,307.653,311.433
2023-11-01,308.087,312.373
2023-12-01,308.735,313.23
2024-01-01,309.794,314.389
2024-02-01,311.022,315.555
2024-03-01,312.107,316.762
2024-04-01,313.016,317.596
2024-05-01,313.14,318.053
2024-06-01,313.131,318.343
2024-07-01,313.566,318.933
2024-08-01,314.131,319.839
2024-09-01,314.851,320.835
2024-10-01,315.564,321.688
2024-11-01,316.449,322.619
2024-12-01,317.603,323.296
