DATE,IP,PPI
2012-01-01,96.7595,200.7
2012-02-01,97.0662,201.6
2012-03-01,96.5609,204.2
2012-04-01,97.251,203.7
2012-05-01,97.4595,201.9
2012-06-01,97.4768,199.8
2012-07-01,97.6714,200.1
2012-08-01,97.2734,202.7
2012-09-01,97.2217,204.4
2012-10-01,97.5311,203.5
2012-11-01,97.9084,201.8
2012-12-01,98.1884,201.5
2013-01-01,98.1736,202.5
2013-02-01,98.6434,204.3
2013-03-01,99.047,204.0
2013-04-01,98.9445,203.5
2013-05-01,99.0383,204.1
2013-06-01,99.2221,204.3
2013-07-01,98.8987,204.4
2013-08-01,99.4897,204.2
2013-09-01,100.021,203.9
2013-10-01,99.9037,202.5
2013-11-01,100.1582,201.2
2013-12-01,100.374,202.0
2014-01-01,99.9899,203.8
2014-02-01,100.7471,205.7
2014-03-01,101.7435,207.0
2014-04-01,101.8273,208.3
2014-05-01,102.2392,208.0
2014-06-01,102.5774,208.3
2014-07-01,102.7954,208.0
2014-08-01,102.6322,207.0
2014-09-01,102.9417,206.4
2014-10-01,102.9611,203.4
2014-11-01,103.5978,200.9
2014-12-01,103.6151,197.0
2015-01-01,102.7923,192.0
2015-02-01,102.1366,191.1
2015-03-01,101.7869,191.5
2015-04-01,101.2255,190.9
2015-05-01,100.7675,193.4
2015-06-01,100.4588,194.8
2015-07-01,101.0893,193.9
2015-08-01,100.9165,191.9
2015-09-01,100.633,189.1
2015-10-01,100.1563,187.5
2015-11-01,99.4366,185.7
2015-12-01,98.9471,183.5
2016-01-01,99.4391,182.6
2016-02-01,98.9232,181.3
2016-03-01,98.1635,182.1
2016-04-01,98.4775,183.2
2016-05-01,98.2549,185.3
2016-06-01,98.7315,187.6
2016-07-01,98.8452,187.7
2016-08-01,98.7427,186.6
2016-09-01,98.6552,186.9
2016-10-01,98.7237,186.7
2016-11-01,98.3443,186.3
2016-12-01,99.0406,188.2
2017-01-01,98.8158,190.7
2017-02-01,98.4356,191.6
2017-03-01,99.0492,191.5
2017-04-01,100.0416,193.0
2017-05-01,100.128,192.8
2017-06-01,100.337,193.6
2017-07-01,100.0865,193.5
2017-08-01,99.6323,193.8
2017-09-01,99.7482,194.8
2017-10-01,100.9893,194.9
2017-11-01,101.2493,195.9
2017-12-01,101.4871,196.3
2018-01-01,101.4852,197.9
2018-02-01,101.7319,199.3
2018-03-01,102.1943,199.3
2018-04-01,103.3551,200.3
2018-05-01,102.381,203.2
2018-06-01,103.2256,204.2
2018-07-01,103.3561,204.3
2018-08-01,104.0585,203.4
2018-09-01,104.1038,203.6
2018-10-01,103.9297,204.6
2018-11-01,104.0126,202.3
2018-12-01,104.0451,201.0
2019-01-01,103.3598,199.1
2019-02-01,102.8251,199.2
2019-03-01,102.8361,200.8
2019-04-01,102.2748,202.1
2019-05-01,102.4176,201.7
2019-06-01,102.5425,200.3
2019-07-01,102.0057,200.7
2019-08-01,102.7814,199.2
2019-09-01,102.4601,198.4
2019-10-01,101.5878,198.6
2019-11-01,102.1494,199.0
2019-12-01,101.9421,199.0
2020-01-01,101.3372,199.3
2020-02-01,101.6718,196.7
2020-03-01,97.606,193.1
2020-04-01,84.6812,185.5
2020-05-01,86.0108,188.6
2020-06-01,91.6745,191.2
2020-07-01,95.0037,193.0
2020-08-01,95.9294,194.3
2020-09-01,95.8914,195.5
2020-10-01,96.5256,196.5
2020-11-01,96.9529,198.3
2020-12-01,98.2039,200.5
2021-01-01,98.8135,204.8
2021-02-01,95.5072,210.6
2021-03-01,98.1929,215.0
2021-04-01,98.3317,217.9
2021-05-01,99.1867,224.9
2021-06-01,99.6483,228.9
2021-07-01,100.0668,231.85
2021-08-01,100.0412,233.415
2021-09-01,98.9955,235.678
2021-10-01,100.3542,240.465
2021-11-01,101.2684,243.287
2021-12-01,101.1948,241.338
2022-01-01,101.2146,246.453
2022-02-01,101.8458,252.66
2022-03-01,102.6732,260.014
2022-04-01,102.9024,265.31
2022-05-01,102.9659,273.251
2022-06-01,102.8224,280.251
2022-07-01,103.0505,272.274
2022-08-01,103.1703,269.546
2022-09-01,103.5326,267.898
2022-10-01,103.4442,265.061
2022-11-01,103.1058,263.157
2022-12-01,101.8266,257.897
2023-01-01,102.7476,260.227
2023-02-01,102.8003,258.669
2023-03-01,102.8143,257.062
2023-04-01,103.2241,256.908
2023-05-01,102.9809,253.67
2023-06-01,102.3809,253.86
2023-07-01,103.0722,253.835
2023-08-01,103.0951,257.68
2023-09-01,103.3081,258.934
2023-10-01,102.5781,255.192
2023-11-01,102.8868,252.856
2023-12-01,102.6309,249.866
2024-01-01,101.483,251.306
2024-02-01,102.7267,254.926
2024-03-01,102.5186,255.095
2024-04-01,102.3568,256.978
2024-05-01,102.9797,255.313
2024-06-01,103.2534,255.914
2024-07-01,102.5192,257.321
2024-08-01,103.0196,255.463
2024-09-01,102.5954,252.682
2024-10-01,102.2138,253.081
2024-11-01,101.9503,253.211
2024-12-01,103.0447,253.423
